start	end	text
0	10080	ja dan gaan we weer eens verder nou weet ik niet of ik dit eigenlijk al gister of
10080	14680	eergisteren over gepraat hebben dat horen we dan dat voor dat zien we later dan wel
14680	21720	eens een keertje hoor ik weet wel die oorlog in holland was er en toen begon het in spanje
21720	31260	in japan en het werd steeds benauwder ze kwamen steeds dichterbij eerst pearl haber dat was een
31260	40720	vreselijke klap de kranten zonder de vol van en toen filipijnen bezet met kaarten de generaal
40720	49320	ontsnapt met een onderzeeboot maar hij beloofde terug te komen en ze allemaal terug te halen hij
49320	51700	was vrij behoorlijk populair geloof ik aan
51720	58560	als ik me goed herinner bij de troepen zelf met amerikaanse troepen en toen toen dacht
58560	66360	engeland nog eventjes nou sturen we twee grote slagschepen naar singapore twee grote slaggeven
66360	75840	naar singapore de rippels en de prince of wales geloof ik maar ach die japaners wisten met
75840	81180	vliegtuigen precies waar die slagschepen zaten maar die slagschepen wisten niet waar de japanse
81180	81700	landingsvliegtuigen waren maar die japanse vliegtuigen waren niet de japanse landingsvliegtuigen
81700	93040	die is gewoon een poosje weet je eindje teruggevaren en met een hoop vliegtuigen goed gericht zijn die
93040	102220	twee slagschepen in de grond geboord op een foto in op internet heb ik nog wel eens een keertje zag
102220	109300	je een van die schepen in het rond draaien een stuur was kennelijk buitendienst mijn vader werd
111700	120380	l sigu prepared om boekjes en openmaken door zijn eigen chef toe aan rushing een gegeven dag
120380	127360	genoeg onодеeld tot in cecario en ook unaot le vertrouwen zonder redent unexpected nagen
127360	135480	Unknown verdiepkelijking zijn lief je�ing zonder kantenI vrienden alleen impressive
135480	141180	nect compromise j heavier spelen van later kwast weet het niet echt goed wat er gaat haar tiếngel
141180	141640	gebruikt hoe kom ik naar bed dan wacht lang kneep mijn bron blijft paying kaaien maar geenabledink uit jelaughter te mariëvren.
141700	143620	revolver inleveren, want de
143620	145160	Nederlandse regering vloot
145160	148140	legerleiding
148140	149940	die hadden zich overgegeven
149940	151760	al gesloten
151760	155880	er was nog een zeeslag geweest
155880	157740	vanuit Surabaya
157740	158460	waar wij woonden
158460	160800	twee kruisers
160800	164020	en een paar verouderde
164020	165420	torpedojagers
165420	167640	en versterkt met een moderne
167640	169220	Australische kruiser
169220	171320	alles is gezonken
171320	173180	Japan land
173180	176200	in het westen
176200	177200	bij Batavia
177200	179620	in het oosten bij ons
179620	180760	in Surabaya
180760	182680	en het duurde niet lang
182680	185240	we hadden ons overgegeven
185240	187400	er werd niks meer verdedigd
187400	189080	het leger
189080	191500	trok gewoon het land naar binnen toe
191500	193140	en
193140	195860	we zagen de Japanners ineens
195860	196520	in de stad
196520	198600	een paar vreemde dingen
198600	200840	het waren wel raar hoor die Jappen
200840	202700	voorbij als kind
202700	204700	ja het was natuurlijk een avontuur
204700	207640	dan zag je een paar mensen staan
207640	209000	bij een schildwacht
209000	210420	wat deden ze daar
210420	213740	nou ze wachten tot er iemand voorbij kwam
213740	215740	op de fiets bijvoorbeeld
215740	216920	of met de auto
216920	219480	als je met de auto was moest je stoppen
219480	220640	uitstappen
220640	222100	een buiging maken
222100	224460	iets roepen
224460	226960	iets zeggen nog tegen die schildwacht
226960	228440	en dan kon die doorrijden
228440	230000	dat was beleefd
230000	230800	best wel vreemd
230800	233600	die waren de Jappen de overwinnaars
233600	236140	en wij waren maar de verliezers
236140	238560	en de fietsers moesten afstappen
238560	241000	en waar al die mensen op zaten te wachten
241000	242560	dat er wel eens een fietser was
242560	245300	die dat niet wist of niet opletten
245300	249300	en nou die werd zo van zijn fiets afgegooid
249300	253200	en nog kreeg die nog een paar klappen ook nog
253200	256800	bij iedere schildwacht was dat zoiets
256800	258160	buigen
258160	259260	afstappen
259260	260560	en weer weg verder rijden
260800	263840	voor mij was het toch wel een avontuur
263840	265580	om zo door de stad heen te rijden
265580	267480	en te zien wat daar gebeurde
267480	269580	maar voor mijn moeder was het een ramp
269580	271460	vader krijgvervangende
