start	end	text
0	13560	We waren dus in Duitsland.
14140	17800	Ik heb later pas begrepen waarom we daar zo lang waren.
18340	23420	Want ik geloof dat mijn moeder er eigenlijk ook niet zo gelukkig was.
24600	26380	Maar wat was er aan de hand?
26380	30320	Mijn vader was vierde of derde stuurman.
31060	37260	Eens in een jaar of twee jaar, drie jaar, moest je weer naar de kweekschool toe, een paar maanden.
38040	42240	En dan kon je een rang hoger komen.
42880	46940	Vierde, derde, tweede en dan tenslotte eerste.
47580	49540	En dan mocht je ook nog kapitein worden.
50500	52500	Maar toen is mijn vader dacht, weet je wat?
52500	55100	Ik ga naar een Duitse kweekschool.
55100	64100	En die heeft dus een Duitse kweekschool voor onderwijzers, voor stuurlieden, heeft hij gevolgd.
65640	68340	Nou, en hij was er heel blij.
69180	78480	Want hij had precies het allernieuwste geleerd wat je kunt leren op het gebied van stormvoorspellingen.
78480	80500	En die waren toch wel belangrijk.
81120	84480	Want er zijn weer plaatsen op de wereld waar je regelmatig...
85100	86120	Een cycloon krijgt.
86640	93000	En je had nog niet zo'n uitgebreid net van weerberichten, waarbij overal de druk gebeten wordt en overal dit.
93640	95940	Maar je moest echt letten op de hemel.
96100	98580	Dat heeft mij later uitgelegd hoor.
99420	104460	Dan moest, ik geloof als ik me goed herinner, was de volgorde ongeveer zo.
105900	107840	Maar in Indië had je geen cyclonen.
108440	110400	Maar hij voerde dikwijls naar Japan toe.
110400	112200	En daar had je ze wel onderweg.
113000	114400	Dan moet het eerst een bestaafdeling...
115100	116420	Al blauwe lucht zijn.
117300	119000	Dan moet het gaan waaien.
120060	128840	En dan ergens, nou nog een volgorde, bevroren wolken aan de hemel.
129680	131940	Vederwolken aan de hemel.
132600	137940	En dat betekent, daar kan wel eens een keertje een cycloon aankomen.
137940	142700	Dan zit je in de buitenste regionen van zo'n cycloon.
143720	143940	En nou...
145100	148860	Hij was nog maar net, nou weet ik niet, derde stuurman.
149860	153280	En hij zegt tegen de kapitein, zus en zo heb ik geleerd.
153800	156180	Als dat eerst komt en dan dat en dan dat.
156780	160020	Dan zit je in de buitenkant van een cycloon.
161160	163980	Maar alle schepen waren aan het lossen en laden.
164060	165120	De haven was druk.
165660	167920	Schepen stonden in Hongkong was dat.
168720	170100	Schepen waren in Hongkong.
170540	171340	Iedereen stond...
171340	175080	Nou, kapitein had geen zin.
175100	180560	Maar mijn vader beweert dat hij dat toen hetzelfde gezegd heeft.
181220	183440	Waar ook een andere stuurman aanwezig was.
184140	186340	Maar bovendien, wat zag hij?
186580	187400	Een engelschip.
187940	191120	En die begon ook te stoppen met lossen en laden.
192660	196100	En die ging een extra anker uitgooien.
196820	200180	Niet alleen aan de buitenkant, maar ook aan de kant van de oever.
200300	202220	Dus hij ging een beetje van de oever vandaan.
202220	204220	En daar werd hij met kabels nog vervolgd.
205100	207520	Doorbonden over verschillende...
207520	213120	Kortom, hij zag dat het schip zich aan het klaarmaken was.
215020	215760	Ophouden.
216800	220160	Nou, toen was de kapitein overtuigd.
220700	224160	En ja hoor, ze hebben het schip een beetje losgetrokken.
224800	226100	Maar bij strak getrokken.
226980	229780	Zo, met de ankers aan twee kanten.
230700	231620	Allebei.
232660	234780	De ankers naar voren uitgegooid.
235100	237640	Maar ook aan de achterkant hebben ze wat uitgegooid.
238540	241760	En nou, de echte storm.
243040	244320	Niet meegemaakt.
244820	246740	Het was net de rand ervan.
247220	249040	Maar er waren genoeg grote golven.
249620	252520	En er gingen genoeg schepen tegen elkaar opgebotsen.
252580	254480	Tegen elkaar losgeslagen.
254920	256580	Op hol geslagen in het water.
257160	260100	Maar dat waren meestal toch de kleinere schepen.
260620	263540	Het was niet de cycloot zelf die we hebben meegemaakt.
263540	264560	Maar er wel.
265100	267100	Heel dichtbij.
267100	269100	Maar zodoende...
269100	276100	...was ik dus toch wel drie of vier maanden in Duitsland op de Duitse school.
277140	282140	Toen naar Holland toe, daar herderde ik me ook niet zoveel van meer hoor.
282760	286100	Ja, eerst waren we in een hotel.
286100	289100	En later zijn we bij hun een huis komen wonen.
289100	294100	Want ja, dat was natuurlijk wel een grote inham.
294100	295100	In Ham.
295100	297100	In een huis.
297100	298100	Vier mensen erbij.
298100	301100	Twee mannen, eh, mannenvrouw en dan twee kinderen.
301100	303100	Maar goed.
303100	305100	Terug naar Holland.
305100	307100	Weer hetzelfde ritueel.
307100	309100	Allemaal mensen op de stoep.
309100	311100	Op de kade.
311100	313100	Zwaaien, zwaaien, zwaaien.
313100	315100	En wij aan boord.
315100	317100	Zwaaien, zwaaien, zwaaien.
317100	320100	Kijk, kijk, zie je, ik zie opa daar, daar, daar.
320100	322100	En dan de fluit.
322100	324100	Toep.
324100	326100	En dan even later.
326100	328100	Toep, toep.
328100	330100	En dan weer even later.
330100	334100	Toep, toep, toep.
334100	338100	En op dat moment werden de trossen losgegooid.
338100	341100	En ging het schip heel langzaam.
341100	344100	Of het met een sleepboot is, dat herinner ik me niet meer.
344100	348100	Maar heel langzaam gingen wij weg.
348100	351100	Terug, terug naar India toe.
351100	353100	Nou, ja.
353100	355100	Ach, de boot zelf.
355100	357100	Ik vond het maar een saai iets hoor.
357100	360100	Je zit op, in het begin kun je natuurlijk wat rondlopen.
360100	362100	Maar al heel gauw.
362100	365100	Je krijgt, we kregen twee hutten.
365100	367100	Eén voor vader en moeder.
367100	370100	En twee voor de kinderen.
370100	372100	Maar wel naast elkaar.
372100	375100	Dus dat betreft was er geen probleem.
375100	378100	Ja, patrijspoort, kun je naar buiten kijken.
378100	381100	Nou, leuk hoor, veel te zien.
381100	384100	Dat is een patrijspoort, heel ver in de horizon.
384100	390100	En als je langs het land voert.
390100	392100	Dan zag je een klein stukje land.
392100	394100	Een paar bomen en zo.
394100	399100	Nee, die tocht zelf vond ik vrij saai.
399100	403100	Suez, dat was eigenlijk een ver...
403100	407100	Ten eerste vaar je daar anderhalve dag geloof ik.
407100	410100	Of in ieder geval voor mijn gevoel meer dan een hele dag.
410100	413100	Alsmaar door de woestijn.
413100	417100	Waar ik al zoveel over gelezen en gehoord had.
417100	419100	Uit de Bijbelse geschiedenis.
419100	421100	De woestijn.
421100	423100	Het is inderdaad verschrikkelijk hoor.
423100	426100	Dan kom je de stad zelf.
426100	428100	Verademing, even stoppen.
428100	430100	Wacht het schip.
430100	432100	Even, weet ik niet, een uur, twee uur.
432100	434100	Nou, dan komen er allerlei handelsbootjes.
434100	436100	Kleine handelsbootjes aan.
436100	438100	En die bieden van alles te koop aan.
438100	442100	Aan de mensen van de grote boten.
442100	445100	Dan werd er met een touw naar boven gegooid.
445100	447100	Iemand pakte het op.
447100	449100	En dan werd er langs een andere touw.
449100	453100	Werd een pakketje naar boven gebracht.
453100	455100	En dan moest je geloof ik.
455100	457100	Wie het eerste was weet ik niet.
457100	460100	Ik geloof daarna stond er een prijskaartje bij.
460100	462100	En dan moest je dat geld terug.
462100	464100	Als je het aannam.
464100	466100	Moest je het geld terug sturen.
466100	467100	En wou je het niet hebben.
467100	469100	Dan stuur je het hele pakketje terug.
469100	471100	Maar zo ging dat.
471100	472100	Maar hard als het door.
472100	474100	Had je ook van die kwajongens.
474100	475100	Arabische kwajongens.
475100	478100	En die zeiden allemaal.
478100	480100	Dupie, dupie, dupie, dupie.
480100	482100	En dan moesten we.
482100	483100	Dat had je toen nog.
483100	486100	Zilveren dubbeltjes.
486100	489100	En zilveren kwartjes.
489100	491100	Kwartjes was 25 cent.
491100	493100	En een dubbeltje 10.
493100	495100	En nou, bij ik bedelen.
495100	496100	Bij mijn ouders en bij anderen.
496100	498100	Hebben jullie nog kwartjes, dubbeltjes.
498100	500100	En dan gooiden we die in het water.
500100	503100	En dan sprongen die jongetjes van hun kleine bootjes.
503100	504100	Bloep, bloep.
504100	505100	In het water.
505100	507100	Soms met z'n tweeën, drieën tegelijk.
507100	510100	Om achter één zo'n dubbeltje, kwartje te gaan.
510100	512100	En dan kwam er al heel gauw iemand naar boven toe.
512100	514100	Met in z'n vinger.
514100	516100	Een dubbeltje of een kwartje.
516100	518100	Ja, hij had wat.
518100	520100	Nou, dat was spannend.
520100	522100	Want je begrijpt.
522100	524100	Daar kreeg ik niet genoeg van.
524100	525100	Om daar naar te kijken.
525100	527100	En ik was wel eens jaloers.
527100	529100	Waarom kon ik zelf niet dit.
529100	531100	Dat wil ik ook wel eens een keertje gaan doen.
531100	533100	Maar zover is het niet gekomen.
533100	535100	Wij gingen terug.
535100	537100	Naar Indië toe.
537100	539100	En in Indië.
539100	541100	Ja.
541100	544100	Waar zijn we toen terecht gekomen.
544100	546100	We zijn.
546100	548100	Nou, moet ik even nadenken.
548100	550100	Dus ik stop weer eventjes.
