start	end	text
0	17100	Ja, dan gaan we weer verder. Eigenlijk gaan we een klein eindje terug, want ik heb me geloof ik vergist.
17940	25680	Toen ik een jaar of 6, 7 was, woonden wij in Singapore. Dat huis herinner ik me heel, heel goed.
25680	33060	Want het was ook niet zomaar een huis, het was een oud landhuis van Engelsen, van jaren daarvoor.
33940	44680	We hadden bijvoorbeeld voor ons huis een oprijlaan, 40 meter, 50 meter, met palmbomen ernaast.
46180	52080	En dan het huis met een heel breed balkon, over de hele breedte heen.
52800	55000	En dan in het midden, naar achteren toe.
55680	65100	Een lange, brede gang, met links en rechts deurtjes naar de slaapkamers, logeerkamer, weet ik wat allemaal.
66200	68860	En daar was Singapore, dat was Singapore.
70080	76820	Nou waren de, ja, die landhuizen waren natuurlijk wel leuk, maar dan moet je wel goede kennis hebben.
76880	81560	Je woont niet naast elkaar, ja, je zit toch een eindje van elkaar vandaan.
81840	85640	Hoe het gegaan is, weet ik niet, maar ik ging spelen vaak.
85680	89120	Met de kinderen vlak uit de kampong, vlak achter ons huis.
90380	94620	En dat, ach, muziek houden we toch allemaal van.
95320	97040	En de hele dag muziek is toch ook leuk.
97640	99280	Nou, daar hadden zij wat op gevonden.
100000	108160	Je neemt een vogeltje, die doe je in een kooitje, en die trek je op aan een speciale, hele lange bamboemast.
108500	113480	Trek je hem naar boven toe, en dan boven in de lucht, als je geluk had.
113480	122320	En dan, mistel, waren ze dan erg blij dat ze zo'n vogeltje hadden, en dan ging dat vogeltje zitten kwetteren, en fluiten, en weet ik wat allemaal.
122320	134320	Nou ja, ik vond het fluiten of zo niet zoveel aan, maar dat daar boven halen, van dat nest en zo, dat was een heel kunststukje, hoor, dat ging niet met een katrolletje.
134320	143320	Verder heb ik toen een mondjevol malees geleerd, dat moet ook wel, want mijn vader leerde mij fietsen.
143320	152000	Maar die fietsen werden vroeger op de groei gekost, want anders moet je elke jaar, kun je wel een nieuwe fiets beginnen.
152780	167400	Nee, die fiets was dus te groot voor mij, dus er werden blokjes aan de pedalen vastgezet, zodat ik wat makkelijker kon trappen, maar een probleem was het opstappen.
167900	173300	Ja, dat moet je echt goed beheersen, wil je met je been, één been roepen.
173320	177020	Ik ging erop, linkerbeen, woep, over de fiets heen.
177760	179320	Nee, zover was ik niet.
179900	182580	Ik kon dus wel langs de stoep gaan staan.
183340	188300	Zeg ik daar de fiets, en dan ging ik op de stoep, en dan kon ik op het zadel gaan zitten.
188800	198500	En zo reed ik weg, en mijn vader achter of naast me hollend en dravend, hè, mij vasthouden, heeft hij mij het leren fietsen geleerd.
199140	201760	Een paar dagen, twee dagen, maar ja, hij moest weer naar zee.
202080	203220	Dus hij zei, nou.
203320	206720	Voorlopig is dit het begin, volgende week gaan we verder.
207500	208180	En weg was hij.
209120	211940	Maar ja, ik kon dus al fietsen.
212780	216560	Gewoon, als je eenmaal onderweg bent, trap je door.
217160	226520	Je kon linksaf gaan, je kon naar rechts gaan, je hand uitsteken was even moeilijk, want dan moest je je stuur loslaten, maar dat ging.
227680	232040	En natuurlijk, ik ben een beetje te ver gegaan.
232520	233300	Tot aan de zomer.
233300	234900	Ja, tot in de stad, zo.
235600	236880	En daar was een kruispunt.
237480	241000	En op dat kruispunt stond een politieamband midden op de weg.
241900	247940	En die gaf aan welk verkeer begon toen in Singapore al een beetje drukker te worden.
248180	249360	Ook met autoverkeer.
250120	255600	En dus werd daar de politie gezet op drukke kruispunten.
257380	259860	En die zei stop, in mijn richting.
260340	261060	Ja, maar.
261060	263560	Ik stond midden op de weg.
263560	265560	Er was geen stoeprand te bekennen.
265560	267560	Ik kon niet stoppen.
267560	272720	Dus ik ben gewoon een beetje doorgereden naar hem toe, notabene.
272720	276200	Maar ja, voordat het zover was kwam er een vrachtauto.
276200	280040	En ik was bewusteloos wat er gebeurd is.
280040	282040	Dat heb ik pas later gehoord.
282040	286300	Ja, de Engelse politie.
286300	288300	Natuurlijk even in...
288300	289720	Goh, wat is dat?
289720	290420	Een blank jongetje.
290420	291020	Ja, de Engelse politie. Natuurlijk even in... Goh, wat is dat? Blank jongetje.
291020	293020	Ja, een blank jongetje.
293020	295020	Die moet naar een blank hospitaal.
295020	300020	Dus ik werd keurig netjes weggebracht naar een blank hospitaal.
300020	302020	Maar...
302020	304020	Ik kwam na een poosje bij.
304020	306020	Wakker.
306020	309020	Toen gingen de mensen vragen waar ik woonde.
309020	311020	Ja, waar ik woonde.
311020	314020	Wat voor praten zij nou?
314020	316020	Ik kende ik Engels.
316020	318020	Natuurlijk niet. Zes, zeven jaar.
318020	319020	Nee.
319020	321020	Maar...
321020	322020	Wat ik wel kende.
322020	324020	Een beetje Maleis.
324020	325020	Tja.
325020	328020	Maar niemand in het Singapore.
328020	331020	Iedereen spreekt daar Maleis op straat.
331020	333020	Maar de Engelsen niet.
333020	338020	Niemand in het hospitaal sprak één woord Maleis.
338020	342020	Nou, toen hebben ze eerst moeten zoeken naar een politieagent.
342020	345020	Een Brits-Indische agent was dat.
345020	348020	Uit Brits-Indië kwam hij.
348020	350020	En die kende waarschijnlijk werkelijk Engels.
350020	352020	En die kon ook...
352020	353020	Nou, Engels moest hij.
353020	355020	Anders was hij geen politieman.
355020	358020	Maar die kende ook Maleis.
358020	360020	En dat herinnerde ik me.
360020	361020	Ik lag in bed.
361020	362020	In zo'n bedje.
362020	365020	En dan komt daar zo'n grote agent.
365020	367020	Sick.
367020	368020	Speciaal.
368020	370020	Die mogen van die tulbanden dragen.
370020	372020	Die grote tulbanden.
372020	374020	En dat herinnerde ik me nog heel goed.
374020	377020	Hij buigt zich voorover naar mij.
377020	378020	En hij vraagt...
378020	380020	In het Maleis...
380020	382020	Hoe ik heette...
382020	384020	En waar ik woonde.
384020	386020	Nou, ik was gewoon...
386020	388020	He, dat was het.
388020	389020	Dus...
389020	391020	Toen zeiden alle Engelsen...
391020	393020	Maar dat hoorde ik later van vader...
393020	396020	Ha, die waren stomverbaasd.
396020	400020	Een blank kind dat Maleis had geleerd.
400020	402020	Ja, zichzelf geleerd.
402020	404020	Zal heus niet veel voorgesteld hebben hoor.
404020	406020	Maar goed...
406020	408020	Ik werd net ziek.
408020	409020	Er was niks...
409020	411020	Ja, ik had een hele lichte hersenschudding.
411020	413020	Moet ik gehad hebben.
413020	415020	Maar het ergste was...
415020	418020	Het was een aanrijding.
418020	420020	Maar niet een overrijding.
420020	422020	Ik werd dus aangereden door de vrachtauto.
422020	424020	En ik slingerde met mijn fiets...
424020	426020	In het rond.
426020	427020	Over de weg heen.
427020	429020	En dat heb ik wel gemerkt.
429020	432020	Van mijn hele been aan de rechterkant...
432020	434020	Tot aan boven toe.
434020	435020	Tot aan mijn heupen toe.
435020	437020	Dat was helemaal...
437020	439020	De kleren waren aan de flarden.
439020	441020	Maar mijn huid ook.
441020	443020	Mijn vel ook.
443020	446020	Nou, in het ziekenhuis is het dus netjes verholpen.
446020	449020	En ik kreeg een keurig verband er om me heen.
449020	451020	En ik kreeg wat aan...
451020	453020	Mijn moeder kreeg wat aanwijzingen.
453020	455020	En nou, zo...
455020	457020	Naar huis toe.
457020	459020	En daar lag ik in bed.
459020	461020	Maar ja, na één of twee...
461020	462020	Weet ik niet.
462020	464020	Na enige tijd...
464020	467020	Moest natuurlijk dat verband losgemaakt worden.
467020	469020	Dat was in het ziekenhuis ook al gebeurd.
469020	471020	Maar ja, daar red ik me niet.
471020	473020	Maar mijn moeder...
473020	478020	Tilde een klein stukje van het verband op.
478020	480020	Auw, riep ik.
480020	481020	Auw, auw, auw.
481020	483020	Mijn moeder nog een klein stukje.
483020	484020	Auw, auw.
484020	487020	Nou, ik zat te brullen en te gillen.
487020	490020	Vertelt mijn zusje later.
490020	492020	Toen hebben ze toch maar...
492020	494020	Weer een verpleegster gemaakt.
494020	496020	Die hebben erbij gehaald.
496020	497020	En die zei...
497020	498020	Oh, dat is niks.
498020	499020	Joep.
499020	500020	Hele verband.
500020	501020	In één keer.
501020	502020	Auw, zei ik.
502020	503020	Ja, klaar.
503020	504020	Oh, hé.
504020	506020	Ja, zo kan het ook.
506020	508020	Ja, in plaats van...
508020	510020	Een beetje pijn lijden.
510020	512020	Gewoon even doorzetten.
512020	513020	Volhouden.
513020	514020	Klaar.
514020	516020	Nou, hoe het verder afgelopen is...
516020	518020	Met die wond, hij is genezen.
518020	520020	Ik kan er niks meer aan...
520020	522020	Er heeft nog tijden...
522020	523020	Een soort litteken gestaan.
523020	526020	Maar die is ook verdwenen.
526020	529020	In de loop der tijden.
529020	532020	Maar zo was het in Singapore.
532020	533020	Was ook iets...
533020	535020	Weet je wat ook erg leuk was?
535020	537020	We hadden een auto.
537020	539020	Ja.
539020	543020	Het zou nu een een of ander museumwagen zijn.
543020	544020	Leo.
544020	546020	Onze Leo zou er gek op zijn geweest.
546020	548020	Een Ford.
548020	550020	Ford T, geloof ik.
550020	552020	Ford V8.
552020	554020	Dat is wat ik me herinner.
554020	555020	Als jongens.
555020	557020	Nee, een Ford V8.
557020	560020	Die hadden die cilinders zo schuin tegenover elkaar.
560020	564020	En die konden veel vlugger rijden...
564020	566020	Dan de vroegere auto's.
566020	568020	Met minder lawaai.
568020	570020	Nou, ik herinner...
570020	572020	Maar wij hadden...
572020	574020	Maar weet je wat er wel moest gebeuren?
574020	580020	Jij moest van tevoren worden opgestart.
580020	581020	Dan moet er iemand voorin...
581020	583020	Een stang erin houden.
583020	584020	Een draaistang.
584020	585020	En dan...
589020	591020	En dan reed de motor.
591020	594020	Maar dat moest even aangeslagen worden.
594020	596020	Dus het was toch geen Ford V8 hoor.
596020	598020	Want dat was al modern.
598020	601020	Dus ik denk dat het een oude T-Ford geweest moest zijn.
603020	604020	Zonder...
604020	606020	Ja, we hadden enige...
606020	607020	Ja, we hadden toch wel...
607020	609020	Stroom, dacht ik.
609020	610020	Maar daar weet ik verder niks van.
610020	612020	Maar daar weet ik verder niks van.
612020	615020	Maar zo zijn we met die auto gaan rijden.
615020	616020	M'n oma ook.
616020	617020	Rijbewijs.
617020	622020	Nou, ik weet niet of je dat nodig had toen in de begintijd.
622020	624020	En dat vond ik wel spannend.
624020	629020	Want mijn moeder was niet de handigste met het starten.
629020	632020	Dan kwamen we daar aanrijden bij een kruispunt.
632020	634020	En dan moesten ze stoppen.
634020	636020	Dat moet je heel voorzichtig doen.
636020	639020	En dan kun je de motor laten draaien.
639020	641020	Dat lukte er een keer.
641020	643020	Dat lukte er een tweede keer.
643020	645020	Maar de derde keer gelukkig...
645020	647020	Nee, de motor sloeg af.
647020	650020	Nou, goede raad is duur?
650020	651020	Nee hoor.
651020	653020	Kost een beetje geld.
653020	657020	Er stonden altijd wel twee of drie van die jonge mensen.
657020	659020	Van die mannetjes langs de kant van de weg.
659020	663020	En die hoopten dat er nog iemand daar ook met z'n auto niet verder kon.
663020	667020	En die waren direct bereid om te helpen met het duwen.
667020	670020	De auto naar de kant te duwen.
670020	672020	Vervolgens dan gaan draaien.
672020	675020	En vervolgens zoveel geld op te vangen.
675020	678020	En dan konden we weer verder rijden.
678020	681020	Nou, dat vond ik wel een leuk moment.
681020	685020	Dat niet kunnen starten met de auto.
685020	687020	Maar goed.
687020	689020	Ja, met die auto.
689020	692020	Ach, we hebben nog wel tochtjes meegemaakt.
692020	696020	Ik herinner me dat we in het donker zijn gaan fietsen.
696020	699020	Gaan rijden naar de haven toe.
699020	701020	En dan al die lichtjes.
701020	703020	Want mijn vader zou komen.
703020	705020	Al die lichtjes langs de haven.
705020	713020	En als je op één van die stuwdammen daarnaast ging lopen.
713020	716020	Kon je daar de lichtjes van de stad zien.
716020	719020	Nee, ik vond het heel imposant hoor.
719020	722020	Zo'n tochtje daarnaartoe.
722020	725020	Want dat heeft in ieder geval bij mij toch wel behoorlijk wat inzicht.
725020	727020	Ja.
727020	729020	En dan kwam vader weer thuis.
729020	731020	En zo kon hij.
731020	734020	Ja, hij was vreselijk boos dat ik zo ongehoorzaam was geweest.
734020	738020	Hij zei, ja die fiets, daar ben je nog te jong voor.
738020	741020	Nou, dat was natuurlijk een belediging voor mij.
741020	743020	Maar gelukkig.
743020	745020	De eerstvolgende keer dat hij mijn verlof was.
745020	747020	En ik weer lopen kon.
747020	749020	Mocht ik toch weer gaan fietsen.
749020	752020	Nou ja, toen heb ik ook leren op- en afstappen.
752020	754020	Ik zei, pas als je kunt op- en afstappen.
754020	756020	Mag je gaan fietsen.
756020	757020	Eerder niet.
757020	759020	Nou, en zo is het gebeurd ook.
759020	761020	Weliswaar op een te grote fiets.
761020	764020	Maar ach, daar ben je allemaal gauw aan hoor.
764020	766020	Singapore.
766020	767020	Ja.
767020	769020	We zaten op een Hollandse school.
769020	771020	Dat weet ik wel.
771020	773020	We hadden een speciale Hollandse klas.
773020	776020	Want er zaten erg veel Hollanders ook in Singapore.
776020	779020	Die werkten wel in Indië.
