start	end	text
0	28080	nou ik hoop dat het lukt maar ik ga weer wat verder vertellen het laatste was geloof ik dat
28080	37200	we naar makassar waren en oh ja van die vlieger dat heb ik nog verteld geloof ik hè dat was dus
37200	45480	hele prachtige vlieger waarmee ik veel werk van gemaakt had maar in india dus alleen maar
45480	53580	vechtvliegers dus ik had nauwelijks mijn prachtige vlieger de lucht in of de kwamen wel vijf of acht
53580	60660	of weet ik veel andere vliegers andere qua jongens als ik van van 10 jaar en zo en die
60660	67740	kwamen met hun vliegers aan en dan eromheen reed wil zo je moet je dan eventjes loslaten
67740	73020	dan aantrekken en dan heb je kans dat die vlieger een rond draait en het ideaal is dat
73020	83260	hij rond draait om die mooie vlieger van mij nou heeft geen minuut geloof ik in de lucht geweest en
83580	91860	ik zie het nog voor mijn ogen zich zag zich zag zakte die prachtige vlieger met die prachtige
91860	99560	staart tot in de bomen uit was het feest maar ja kind leert dat ik vlug ik wist ook gauw ook
99560	105860	hoe je de draad van een vlieger dat laatste stukje draad dat moet je met lijm in smeren
105860	113560	en vervolgens door glasvezel dus gewoon stampen fijn stampen en dan al die
113580	123420	glas scherfjes op je touwtje krijgen maar ja dat ging zeker niet zo goed in ieder geval ik was wel
123420	128580	eens een keer geslaagd dat heb ik me wel maar de meeste keren verloor ik toch weer maar we
128580	135180	hadden een tuin jongen dat was toch een echte jongen zo uit de binnenlanden van van van
135180	142980	mccaster vandaan en dat was een vrolijke vent ho die wist het veel beter nee dat moet je zo
142980	150840	doen zei hier maak je die schilvers voor die hier van die kapotte van glas gebroken glas en dan pak
150840	157660	je een draadje vlak bij de vlieger bovenaan en die draaien een beetje los en dan stop je daar
157660	165140	een splinter in glas splinter en dan een eindje verder 5 centimeter of zo weet ik niet meer
165140	172640	weer een stukje glas splinter dwars en dan weer verder en dan nog een keer en dan nog een keer
172640	181040	nog een keer nog weer een nieuw veel daarmee zegt hij nou en ja hoor de eerste de beste keer dat ik
181040	188360	de lucht in ging had ik er al twee die vechtvliegers van een ander kapot gekregen ja toen kwam er
188360	194300	natuurlijk iemand die ook zo'n vecht echte zware vechtvlieger had als ik en toen was ik de mijn is
194300	195120	toch kwijt maar ik vond het wel leuk maar ik vond het wel leuk maar ik vond het wel leuk maar ik vond het
195120	201900	goed ik wist nu tenminste hoe ik ermee om moest gaan ja en dat was toch wel een heel prettig iets
