start	end	text
0	3320	Even wachten, ik moet even nadenken hoor.
4540	9500	O ja, kijk, het begin van mijn leven, daar weet ik natuurlijk niks van.
9920	18120	Ik moet ergens in een ziekenhuis in Batavia geweest, de hoofdstad toen van Nederlands-Indië.
18880	28800	Maar het oudste wat ik me nog herinner moet zijn, we woonden in Batavia aan een kromme kleine straat
28800	32640	en ik herinner me een grote verrassing.
33380	36940	Een keer was ik die, ik mocht nog niet op straat lopen, maar ik kon lopen,
36940	42200	dus ik moet vijf jaar zijn geweest of zo, vier jaar, en ik loop op straat
42200	46940	en dan kom ik bij de hele drukke weg, Menteng geloof ik dat het heet.
48740	55000	Nou, daar mag ik niet komen, ik was een gehoorzame jongen, dus ik liep terug naar ons huis,
55620	56700	maar ik ben door gaan wandelen.
56700	60020	En die weg maakte een soort U-bocht.
60620	64520	En even later was ik weer bij die grote drukke weg.
65140	67680	Nou, ik was stomverbaasd, hoe kan dat?
68080	73660	Ik loop twee kanten op en ik kom zomaar bij een hele drukke weg uit.
74380	77380	Ik geloof dat dit ongeveer mijn oudste herinnering is.
