start	end	text
0	25100	Ja, kijk, van Batavia toen, dus voordat ik, toen ik ongeveer 5, 6 jaar was, herinner ik me erg weinig.
25100	31480	Ja, het huis, maar soms denk ik dat ik beter herinner de foto van het huis dan mijn eigen herinnering.
32160	37820	Maar toen zijn we naar Holland gegaan met de boot, met een grote, grote boot.
38480	47000	Ik vond dat wel machtig hoor, zo'n groot schip en aan het vertrek alleen al allemaal mensen op de kade, die zitten te zwaaien.
47620	55080	En dan gaat de fluit, toet, oh, nou, even weer mensen, water, laat me even.
55080	62780	En even later weer, toet, toet, oh, nou gaat het komen, nou gaat het komen.
63460	72180	Als jongetje moet ik toen over het dek hebben gehold, want ik moet ook gekeken hebben waar de ankers opgehaald worden, maar die kon ik niet zien.
73420	83220	En dan weer terug en dan tenslotte, toet, toet, toet, ja hoor, het schip, de trossen werden losgegooid.
83220	85060	En het schip ging op.
85080	87820	Op een zee, ik vond het geweldig.
88740	94500	Vaak gingen we boven spelen, maar dat mocht niet van mijn moeder, want daar waren de sloepen.
95140	101980	En daar kropen we tussen, daar gingen we verstoppertje spelen, er onderdoor, tussendoor, maar er was geen reling.
102780	106840	Dus afgelopen, dat heeft maar heel even geduurd hoor.
108340	112240	Van de reis zelf, van de hele reis in ieder geval, herinner ik me heel weinig.
112620	114340	Maar wel in Holland.
115080	119000	Opa, oma en tante Marie.
120340	124560	En opa had iets bijzonders, een keeshond.
125100	131000	Nou ja, een keeshond, een keeshond, maar deze hond was wel heel speciaal.
131600	133120	Hij kon mollen vangen.
134480	138920	Nou, ik wist nauwelijks wat een mol was, maar goed, dat leerde ik vlug.
140260	145060	Dan zie je daar een molshoop in de tuin en die gaat een beetje bewegen.
145080	148540	Want dan is die mol aan het werk en die probeert het daarboven.
149160	152240	En dan zie je die keeshond, dat herinner ik me nog heel goed hoor.
153020	157920	Die sluipt dan, echt een hond, die verwacht je toch dat die holt?
158080	164300	Nee, die sluipt als een poes, stapje voor stapje dichterbij.
165140	171100	En net op het moment dat die molshoop weer een beetje beweging in zit.
171760	173960	Hap, met een volle bek.
173960	179060	De warf door alle zand heen en jouwer, wat die te pakken had, weet ik niet.
179520	185420	Maar hij had iets in zijn bek en hij slingerde hem helemaal weg naar alle kanten toe.
186380	188940	Wat er met dat beest is gebeurd, weet ik niet eens.
189740	193420	Ik vond het geweldig wat die keeshond had kunnen doen.
