start	end	text
0	4500	...wets natuurlijk, daar speel je op, maar daar luister je ook op af.
5180	6240	Ja, hij neemt al op nu.
6500	9240	Nou, vooruit, even kijken hoor.
9760	15280	Ja, het is zondag en na herhaalde pogingen, want het is een keer mislukt,
15380	21820	en toen mislukte het weer omdat ik niet kon lezen, zeg, de oorlog was voorbij.
22700	28220	Dat ging heel plotseling hoor, nadat we jaren hebben zitten wachten.
28220	32880	Ja, je voelde wel wat aankomen in Europa.
33660	38420	De berichten waren geweldig, zeg, afgelopen in Nederland.
38680	42580	Daar zaten de Nederlanders weer terug, de regering was weer terug.
43940	51000	Maar wat we toen niet wisten, maar wel merkten, en in die gebeurde er niks.
52560	52820	Waarom?
53140	57740	Al de mensen wilden toch naar huis, de troepentranschors schepen,
57740	63280	die eventueel de burgersgevangenen weer terug konden brengen op de plaats waar ze wilden zijn.
64160	65440	Daar was geen ruimte voor.
66500	75320	Eerst de troepen uit Duitsland, uit Rusland, uit Noord-Afrika, uit Burma.
75940	86140	Al die troepen, en van Australië en Noord, ja, allerlei eilanden uit de Stille Oceaan.
86140	92700	Die hadden maar één idee, oorlog is voorbij, terug, terug, terug.
93340	98900	Dus alle troepenschapsschepen die er waren, die werden ingezet voor de militairen.
99820	104980	Maar wij als burger, de poort ging open, en het eten werd verdubbeld.
105040	109540	Dat was heel wat hoor, kun je toch drie of vier boterhammen, zoals morgens.
112060	116120	En smiddags kun je echt, echt, dat was, ja, dat was begonnen.
116140	118380	Om al op een echte maaltijd te lijken.
119220	120880	Ja, de keuken werkte volop.
122480	129740	Ik herinner me nog wel, dat we een lezing kregen over wat is nu een atoombom.
130600	132380	Maar dat werd in het Engels gehouden.
133140	138520	Ik kon het volgen ongeveer, want ik had natuurlijk ook natuurkunde les gehad in het kamp.
139700	142020	En de Japanse leiding was er ook.
143740	145780	Gewoon, zaten gewoon in de rij.
146140	146740	Vooraan.
148420	148640	Tja.
150520	151780	Die wist ook niet wat het was.
152680	156000	Dat was zoiets, buitenaard, was niet meer gewoon.
157280	162820	En de Japanse keizer had gezegd, dit gaat onze krachten te boven.
163820	164240	Einde.
165960	166860	Oorlog voorbij.
167240	174860	En alle commandanten kregen opdracht hun wapens tegen Europese landen stil te leggen.
175680	176120	En.
176140	177100	En dat hebben ze gedaan.
177680	178300	In één keer.
178440	179340	In één keer.
179980	180500	Overal.
181900	182520	En wij.
183380	184960	Ineens was de poort open.
186160	192900	En de volgende dag, ja, hebben we een dubbele voorraad brood gekregen en zulke dingen.
193780	197740	Nou, we hebben nog even in het dorp in Bandung rondgelopen.
198420	200180	Maar er werd al gauw gezegd, die doen.
200820	203920	Want er zijn opstandige groepen in ons opstand.
203920	206120	Wij hadden toen het idee dat die jappen ze op.
206140	208300	Hadden opgestookt.
208680	210920	Was voor een deel ook wel waar.
211580	215300	Ze hadden namelijk ook eigen troepen opgeroepen.
215920	220960	Maar ze vertrouwden de Javanen nog minder dan vroeger de Hollandse regering.
221500	222620	Dus veel waren het niet.
222800	225140	En het eerste wat ze deden was ze weer op straat te gooien.
226140	227160	Nou, in ieder geval.
228280	230300	We moesten wel voorzichtig zijn.
231520	235360	We kregen onmiddellijk kaarten van het Rode Kruis.
236140	238560	Daar heb ik later eigenlijk nooit iets meer van gehoord.
239420	244780	In het, bijna tegen het einde van de oorlog, hebben we wel de Rode Kruis pakketten gekregen.
246160	247660	Dat was al wonderlijk iets.
248940	250360	Je zit midden in de oorlog.
250920	255160	Je hebt niets anders dan een handje vol rijst, een stukje brood.
256260	259480	En daar ineens kreeg je een stukje Europa terug.
260480	263720	Met een stukje kaas, een worst.
264820	265980	En, en, en, en.
266140	270180	En een of andere puddingachtig iets.
271760	274200	Ook, ook, ja, eetbaars.
274300	275300	Maar ik ben het vergeten.
276400	278220	We hebben alleen maar bewondering.
279220	282620	Er zat trouwens een bakje met suiker erin.
283100	284720	En we konden soep maken ermee.
285860	288520	Nou, Rode Kruis pakketten.
290320	295160	Toen de oorlog voorbij was, bleek er nog een heleboel te liggen in de...
295160	302720	de in de opslagplaatsen had je hadden de jappen nooit echt uitgedeeld maar die hebben toen wel
302720	311720	opgemaakt hoor maar ja rode kruis werkte werkelijk prima hoor het was eigenlijk ja toen toen vonden
311720	318020	we van niet wat alles duurde zo lang natuurlijk een week wachten is lang hoor als het over
318020	324440	belangrijke dingen gaat wij moesten een kaart schrijven waar we zelf woonden wie onze familie
324440	336380	was en en om nee en bij wie wij zochten de mensen die wij zochten ja dus ik zocht naar mijn vader
336380	344960	mijn moeder en zuster en werkelijk ja ik weet niet in mijn gevoel was het erg lang hoor maar ik geloof
344960	350660	dat het twee of hooguit twee weken was dat werd toch helemaal vanuit zwitserland verzorgd door
350660	353620	en daar kreeg ik bericht
354440	363440	mijn vader zat daar en daar bij de bermaspoorweg en mijn moeder en zuster woonde in zaten in amst in
363440	373700	batavia daar en daar op dat adres nou dat was wat ik ben toen gewoon ja ik weet niet eens of
373700	381860	ik toestemming heb gevraagd bij gewoon weggelopen ja met wat ik had nou dat was niet veel ik vraag
384440	390200	of had ik sloffen aan ik denk toch dat ik een soort schoentjes aan schoenen aan had dat bleek trouwens
390200	396320	bij een heleboel in het geef in de gevangenis te zijn hoor allerlei mensen die ineens weer in pak
396320	403440	verschenen die hebben al die tijd terwijl we daar in volle rondliepen had ze toch ergens bovenachter
403440	414320	in de kast nog een paar nette kleren en zo ging ik op de weg naar batavia van bandunga
414440	420200	batavia toe over de bergen heen daar kwam me allemaal militair verkeer de eerste hollandse
420200	427640	auto leger onderdelen waren er al ze waren wel wel vrachtauto's en zo en daar ben ik gaan liften
