start	end	text
0	4160	Zo moet er... Oh nee, er is toch niet niks verkeerd op. Ja?
5700	11000	Nou, eens even kijken. Dan gaan we even weer verder met, hoe heet die...
12420	18780	Naar onze terugkeer uit Nederland gingen we wonen in Makassar.
19760	27440	Dat is op een heel raar, gelangwerpig eiland met, ja, hoge, tamelijk hoge bergen.
27440	31740	Eh, ergens in het oosten van Indië.
32480	40400	Makassar, daar, het waren de Malaiërs die daar woonden, dat heette Makassaren en Boeghinezen.
41020	46360	Die had mijn vader graag op zee als matroos. Dat waren flinke kerels, vond hij.
46960	56560	Eh, niet zo beschaafd als de Javanen, maar gewoon een beetje rauw, beetje, ja, je moest ze wel eens een keertje vechtend uit elkaar trekken en zo.
56560	59200	Maar goed, daar had ik weinig mee te maken.
59900	66320	Maar, ik had in Holland geleerd van mijn opa om prachtige vliegers te maken.
68040	75260	Weet je wel, groot en dan met een soort gezicht erop en een hele lange staart.
76660	81160	Maar ach, dat kenden ze in Indië niet. Een mooie vlieger.
81560	84740	Nee, vlieger waren zo klein mogelijk. Waarom?
86560	88560	Want ze lachten tegen elkaar.
89140	103820	Dan werd het draad met lijm vol en dan moest je glas scherven, fijnstampen en dan moest je die draad met lijm door die glasvezel halen.
103820	110760	Dat was een akelig werkje hoor, want je begrijpt, je gaat met glas om, je houdt wat vast en je hebt zo zelf een mond.
110760	115900	Maar goed, dat was toch een manier om daar een paar meter van de vliegers te halen.
115900	118840	Van de vliegertouw met glas in te krijgen.
118960	124080	En dat werd dan hard, dat droog en dan ging je de volgende dag, ging je vliegeren.
124620	129080	Dat wil zeggen, je ging naar een groot veld en er waren meer mensen die vliegeren.
130000	131320	En wat deden ze met elkaar?
134180	136300	Aan het vechten met die vliegers.
136740	140520	Maar ik had juist zo'n mooie Hollandse vlieger gemaakt.
141040	143400	Zo met zo'n lange, lange mooie staart.
144480	145880	Ik ging naar het veld.
145880	149160	En ik was trots op, haha, al die kleine dingetjes hier.
149860	150900	Ik had tenminste wat.
151760	156300	En ik trek mijn vlieger, ik loop een eindje hard, trek hem hard naar boven toe.
157040	158900	En ja hoor, hij ging de lucht in.
159360	160980	Met een lange staart.
161480	165360	En aan die staart had ik ook nog allemaal papiertjes geplakt, geloof ik.
165480	166440	Gekleurde papiertjes.
167540	169240	Maar wat gebeurde er op dat plein?
170180	174440	Al die mensen zagen ineens die prachtige vlieger.
174440	177880	Die hadden zelf, hadden ze, kleine vechtvliegers.
178640	182500	Nou, onmiddellijk kwamen er twee, drie, vier zo dichtbij.
183180	191060	En de kunst was dan om de vlieger zo aan het draaien te maken dat die onder de andere vlieger heen draaide.
191580	194060	Dus dat de touwtjes over elkaar heen schuurden.
194660	198160	En dan was het een kwestie van djoep, djoep, djoep, djoep, een beetje bewegen met het touwtje.
198620	201440	En mijn vlieger kapot.
201780	203140	Dat wil zeggen, touwtje kapot.
203260	204420	En ik zie de vlieger.
204420	205980	Dat heb ik nog in mijn hoofd.
206460	210660	Ik zie hem zo, zak, zak, heel langzaam.
211240	212420	En dan bleef hij in een boom hangen.
213820	214940	Dat was mijn mooie vlieger.
215320	215620	Weg.
216300	217640	En iedereen, ha ha ha.
218300	220180	Dat zal wel tenminste, dat weet ik niet meer.
220600	223300	Maar in ieder geval, voor mij was de teleurstelling groot.
223960	226100	Of ik huilend ben thuisgekeerd, dat weet ik niet meer.
226260	228120	Dat kan wel, maar beter doe ik het niet.
228440	229700	Zo klein was ik ook niet meer.
230820	231800	Maar ik heb het wel geleerd.
232660	234400	Oh, zo doe je dat dus.
234420	238000	Je gaat het touw insmeren met lijm, met houtlijm.
238640	243000	En dan groei je er kluwe touwgooi erin.
243440	244740	Die trek je strak.
245760	249540	En daar zorgde je voor dat daar al die...
249540	252380	Oei, moest je van tevoren in het glas of in de bak.
253080	255920	Daar had je dus die lijm met glasvezels.
256900	260340	Ja, en dan moest je daar je touw doorheen halen.
260960	262740	En dan had je zoveel meter touw.
262740	265340	En die moest je nog goed laten drogen.
266340	269160	En dan maakte je een kleine vlieger.
269800	271700	Een beetje oefenen met die vlieger.
272440	275400	Zonder het glas touw, want dan sneed je je eigen vingers ook aan.
275960	277680	Dus dan moet je wel een beetje voorzichtig zijn.
278920	280360	En dan een beetje oefenen.
280760	285400	Hoe krijg je die boven in de lucht in beweging zoals jij die wil hebben.
285540	289160	Dus als een andere links van je is, dat had ik al lang gezien.
289780	291620	Dan moet jij zorgen dat je ook links komt.
291760	292640	Maar dan niet.
293180	295340	Bovenop die andere, nee, eromheen.
295680	296900	Dat is de grote kunst.
297840	299880	En ja, dat is natuurlijk oefenen.
300760	304000	En zo had ik mijn eerste vlieger ook gemaakt.
304180	305080	Ook een vechtvlieger.
305960	307640	Ik weet niet eens meer of ik succes had.
307920	309620	Ik zal wel niet de eerste keer horen zijn.
310180	312740	Maar goed, op den duur was ik toch handig.
313520	315620	En toen heb ik van de tuinjongen geleerd.
315760	317220	Ha, dat kun je veel mooier maken.
318320	321540	Dan moet je dat touwtje waar de vlieger aan zit.
321540	322540	Dan moet je een beetje lossen.
322740	323240	Dan moet je een beetje losdraaien.
